Postcode, Households, Children / Family, Motor Vehicles / Dwelling, People / Household, Families, Female, Male, Median Age, Median monthly mortgage, Median weekly household income, Median weekly rent, People
2450, 17017, 1.8, 1.6, 2.4, 10144, 19692, 18607, 42, 1600, 920, 250, 38299
2452, 6742, 1.8, 1.5, 2.4, 4154, 7883, 7127, 41, 1517, 851, 250, 15010
2453, 1359, 1.9, 1.7, 2.2, 746, 1368, 1337, 48, 1083, 700, 160, 2705
2454, 3344, 1.8, 1.7, 2.5, 2044, 3800, 3551, 43, 1354, 843, 255, 7351
2455, 1568, 1.9, 1.6, 2.2, 881, 1531, 1489, 51, 1300, 730, 224, 3020
2456, 6270, 1.9, 1.7, 2.5, 3922, 6862, 6717, 43, 1517, 880, 260, 13579
2460, 12339, 1.9, 1.7, 2.4, 7722, 14496, 14095, 43, 1300, 807, 200, 28591
2462, 1384, 1.9, 1.8, 2.4, 682, 1236, 1273, 48, 1083, 670, 200, 2509
2463, 3274, 1.9, 1.7, 2.4, 2048, 3650, 3497, 48, 1300, 790, 220, 7147
2464, 4078, 1.8, 1.4, 2.1, 1875, 3443, 3238, 52, 1517, 733, 255, 6681
2465, 172, 1.9, 1.9, 2.5, 98, 179, 177, 43, 1625, 837, 210, 356
2466, 1289, 1.8, 1.4, 2, 504, 859, 843, 57, 986, 577, 200, 1702
2469, 2137, 2, 1.7, 2.4, 1148, 2039, 2207, 47, 953, 647, 130, 4246
2470, 6248, 1.9, 1.6, 2.5, 3975, 7418, 7130, 41, 1300, 806, 200, 14548
2471, 996, 2, 1.9, 2.7, 669, 1301, 1276, 40, 1222, 875, 210, 2577
2472, 829, 1.8, 1.8, 2.3, 477, 823, 907, 44, 1300, 806, 185, 1730
2473, 1859, 1.8, 1.4, 2.1, 808, 1500, 1469, 51, 1309, 696, 228, 2969
2474, 3071, 1.9, 1.7, 2.4, 1746, 3203, 3183, 45, 1213, 729, 180, 6386
2475, 225, 2.2, 1.8, 2.5, 112, 224, 223, 48, 914, 567, 140, 447
2476, 498, 2.1, 1.7, 2.6, 276, 506, 511, 40, 934, 719, 120, 1017
2477, 4778, 1.9, 1.8, 2.4, 3227, 5852, 5393, 46, 1603, 956, 260, 11245
2478, 12698, 1.8, 1.6, 2.3, 7349, 13956, 12813, 45, 1733, 913, 300, 26769
2479, 1972, 1.8, 1.9, 2.6, 1241, 2284, 2254, 43, 1513, 1028, 350, 4538
2480, 19213, 1.9, 1.7, 2.4, 11692, 22665, 21730, 40, 1495, 905, 225, 44395
2481, 5670, 1.6, 1.6, 2.3, 2445, 5373, 5326, 41, 1850, 950, 393, 10699
2482, 2647, 1.8, 1.7, 2.4, 1505, 2972, 2776, 44, 1517, 773, 288, 5748
2483, 4926, 1.7, 1.7, 2.4, 2714, 5123, 4907, 43, 1549, 840, 320, 10030
2484, 7932, 1.9, 1.7, 2.5, 4871, 9233, 8816, 44, 1528, 834, 250, 18049
2485, 7356, 1.6, 1.3, 2, 3462, 7061, 6288, 52, 1725, 732, 280, 13349
2486, 13659, 1.8, 1.6, 2.4, 8635, 16034, 14559, 46, 1842, 868, 310, 30593
2487, 5695, 1.8, 1.6, 2.3, 3005, 5753, 5441, 44, 2037, 896, 310, 11194
2488, 1448, 1.8, 1.7, 2.5, 873, 1593, 1506, 39, 1625, 966, 305, 3099
2489, 2917, 1.9, 1.6, 2.5, 1784, 3228, 3091, 40, 2167, 950, 350, 6319
2490, 287, 1.8, 2, 2.7, 188, 335, 355, 42, 1300, 1107, 280, 690
2500, 17668, 1.7, 1.4, 2.3, 8695, 18195, 18887, 33, 1907, 1006, 270, 37082
2502, 4983, 1.8, 1.4, 2.5, 3164, 5849, 5857, 40, 1625, 766, 180, 11706
2505, 2166, 1.7, 1.4, 2.4, 1335, 2400, 2515, 43, 1733, 809, 200, 4915
2506, 3000, 1.9, 1.6, 2.6, 2018, 3801, 3629, 40, 1625, 884, 165, 7430
2508, 3223, 1.9, 1.9, 3, 2306, 4291, 4361, 36, 2400, 1837, 360, 8652
2515, 4365, 1.9, 1.7, 2.7, 2820, 5292, 5095, 40, 2167, 1702, 360, 10387
2516, 2215, 1.9, 1.7, 2.7, 1559, 2907, 2764, 38, 2299, 1463, 220, 5671
2517, 5334, 1.8, 1.6, 2.5, 3564, 6726, 6230, 40, 2167, 1225, 260, 12956
2518, 8272, 1.8, 1.5, 2.4, 4993, 9575, 9037, 40, 1950, 939, 220, 18612
2519, 6743, 1.8, 1.6, 2.5, 4380, 8212, 8027, 39, 2000, 1066, 260, 16239
2525, 4024, 1.9, 1.8, 2.7, 2965, 5371, 5259, 39, 2000, 1395, 280, 10630
2526, 5773, 1.9, 1.8, 2.8, 4357, 8088, 7742, 38, 1847, 1342, 215, 15830
2527, 7280, 1.9, 1.9, 2.9, 5733, 10534, 10080, 35, 1900, 1318, 280, 20614
2528, 10033, 1.8, 1.5, 2.4, 6489, 11798, 11486, 42, 1733, 819, 215, 23284
2529, 8434, 1.9, 1.9, 2.8, 6388, 11364, 10943, 37, 2000, 1343, 300, 22307
2530, 11240, 1.9, 1.8, 2.7, 8394, 15210, 14510, 38, 1820, 1137, 250, 29720
2533, 6858, 1.8, 1.8, 2.5, 4379, 7584, 7353, 46, 2000, 1246, 300, 14937
2534, 2500, 2, 1.8, 2.6, 1337, 2587, 2402, 44, 1900, 1197, 300, 4989
2535, 3672, 1.8, 1.7, 2.2, 2039, 3606, 3392, 52, 1842, 883, 255, 6998
2536, 11002, 1.9, 1.6, 2.3, 4794, 8961, 8506, 48, 1517, 792, 236, 17467
2537, 6838, 1.8, 1.6, 2.3, 3130, 5509, 5400, 50, 1400, 806, 206, 10909
2538, 985, 1.8, 1.9, 2.4, 599, 1194, 1067, 51, 1636, 892, 230, 2261
2539, 11243, 1.8, 1.6, 2.3, 4780, 8453, 8073, 50, 1321, 747, 235, 16526
2540, 23909, 1.9, 1.7, 2.4, 11490, 20820, 20919, 45, 1532, 847, 230, 41739
2541, 10693, 1.9, 1.5, 2.3, 6302, 12443, 11699, 41, 1400, 812, 195, 24142
2545, 638, 1.8, 1.8, 2.3, 304, 512, 556, 49, 1192, 797, 120, 1068
2546, 5712, 1.8, 1.6, 2.1, 2472, 4411, 4381, 54, 1300, 718, 190, 8792
2548, 4069, 1.8, 1.6, 2.1, 1966, 3606, 3267, 53, 1500, 853, 230, 6873
2549, 1755, 1.8, 1.8, 2.5, 1040, 1820, 1810, 47, 1517, 912, 210, 3630
2550, 7434, 1.9, 1.8, 2.4, 4352, 7933, 7760, 45, 1300, 869, 185, 15693
2551, 1830, 1.8, 1.5, 2.2, 967, 1764, 1688, 48, 1430, 788, 175, 3452
2555, 144, 2.2, 2.2, 3.5, 103, 214, 241, 34, 1733, 1148, 320, 455
2556, 737, 2.1, 2.8, 3.4, 616, 1150, 1237, 37, 2510, 1547, 340, 2387
2557, 1210, 2.2, 2.6, 3.4, 1009, 1946, 2056, 37, 2329, 1359, 335, 4002
2558, 3622, 2, 2, 3.2, 2983, 5624, 5499, 32, 1780, 1514, 300, 11123
2559, 1095, 2.4, 1.2, 3.5, 816, 2025, 1778, 21, 1902, 657, 165, 3803
2560, 25925, 2, 1.7, 2.9, 19387, 36968, 35268, 33, 1842, 1246, 260, 72236
2563, 79, 1.9, 2.3, 2.9, 67, 117, 124, 46, 1842, 1031, 360, 241
2564, 4790, 2, 1.4, 2.9, 3573, 6927, 6448, 33, 1723, 994, 210, 13375
2565, 6050, 1.8, 1.7, 2.8, 4480, 8319, 8267, 36, 1800, 1293, 290, 16586
2566, 7954, 1.9, 1.8, 3.1, 6547, 12187, 11858, 33, 1820, 1385, 280, 24045
2567, 10997, 2, 2, 3.2, 9353, 17235, 16730, 32, 2167, 1841, 375, 33965
2568, 321, 2.1, 2, 2.8, 232, 460, 417, 45, 2334, 1352, 110, 877
2569, 451, 2, 2.4, 3.1, 359, 606, 667, 36, 2000, 1663, 250, 1273
2570, 10283, 2, 2.2, 2.9, 7802, 14516, 13828, 37, 2200, 1635, 320, 28344
2571, 3695, 2, 2.2, 2.9, 2793, 5017, 5124, 37, 2167, 1531, 250, 10141
2572, 1446, 1.9, 2.2, 2.8, 1048, 2015, 1926, 38, 2058, 1402, 270, 3941
2573, 1781, 1.9, 1.8, 2.7, 1262, 2289, 2216, 37, 1993, 1117, 280, 4505
2574, 2018, 2, 2.2, 2.9, 1487, 2712, 2708, 37, 2000, 1271, 265, 5420
2575, 5830, 1.9, 1.9, 2.6, 3782, 7277, 6754, 40, 1798, 1109, 257, 14031
2576, 6106, 1.9, 1.7, 2.4, 3582, 6735, 5975, 50, 2000, 1149, 300, 12710
2577, 6997, 1.9, 1.9, 2.5, 4063, 7529, 7121, 44, 1800, 1072, 240, 14650
2578, 1225, 1.9, 1.7, 2.2, 666, 1282, 1137, 53, 1700, 870, 250, 2419
2579, 1743, 2, 2.1, 2.5, 1006, 1780, 1818, 44, 1733, 1027, 200, 3598
2580, 12739, 1.9, 1.7, 2.4, 7159, 13404, 13708, 41, 1500, 982, 180, 27112
2581, 980, 1.9, 2.2, 2.5, 570, 992, 1005, 43, 1660, 1234, 180, 1997
2583, 2161, 1.9, 2, 2.3, 1137, 2025, 1973, 48, 1300, 824, 135, 3998
2584, 257, 1.8, 1.9, 2.3, 136, 228, 237, 47, 1409, 879, 185, 465
2585, 151, 2.1, 2, 2.4, 76, 155, 184, 48, 1250, 828, 100, 339
2586, 1512, 2, 2, 2.4, 738, 1350, 1375, 45, 1000, 776, 120, 2725
2587, 1362, 2, 1.8, 2.3, 793, 1448, 1379, 47, 1083, 733, 140, 2827
2588, 150, 1.9, 2, 2.5, 79, 165, 140, 46, 1083, 1166, 23, 305
2590, 3368, 1.9, 1.6, 2.3, 1968, 3638, 3472, 46, 1083, 769, 150, 7110
2594, 5068, 2, 1.7, 2.5, 3006, 5890, 5566, 39, 1300, 831, 180, 11456
2611, 9607, 1.8, 1.8, 2.5, 6459, 11871, 11369, 40, 2167, 1839, 332, 23240
2618, 526, 1.9, 2.6, 2.9, 394, 707, 682, 41, 2000, 2125, 300, 1389
2619, 3217, 2, 2.2, 3.1, 2628, 4762, 4658, 34, 2400, 2691, 365, 9420
2620, 15774, 1.8, 1.9, 2.5, 9448, 17925, 18508, 37, 2000, 1522, 270, 36433
2621, 2017, 1.9, 2.3, 2.9, 1518, 2686, 2683, 39, 2252, 2185, 350, 5369
2622, 1807, 1.9, 2, 2.3, 861, 1627, 1631, 45, 1517, 935, 200, 3258
2623, 368, 1.9, 1.9, 2.5, 191, 353, 390, 39, 1469, 1354, 260, 743
2625, 592, 1.2, 1.4, 1.8, 31, 207, 264, 38, 2500, 1213, 46, 471
2626, 232, 1.9, 2, 2.6, 132, 241, 259, 41, 1625, 1463, 215, 500
2627, 2789, 1.9, 2, 2.6, 887, 2030, 2370, 35, 1777, 1315, 260, 4400
2628, 1010, 1.8, 2, 2.4, 497, 862, 944, 44, 1270, 955, 185, 1806
2629, 514, 1.8, 2, 2.1, 165, 273, 312, 51, 990, 796, 100, 585
2630, 4195, 1.9, 1.7, 2.3, 2207, 4179, 4152, 43, 1226, 918, 180, 8331
2631, 490, 1.9, 2, 2.3, 206, 343, 376, 48, 762, 754, 61, 719
2632, 897, 1.9, 1.7, 2.2, 455, 841, 821, 45, 1083, 884, 140, 1662
2633, 291, 1.8, 1.7, 2.1, 124, 208, 244, 51, 910, 672, 100, 452
2640, 14909, 1.9, 1.7, 2.4, 8624, 17466, 16243, 37, 1517, 1131, 200, 33709
2641, 6706, 1.8, 1.6, 2.3, 3751, 7375, 6940, 38, 1300, 853, 180, 14315
2642, 2234, 2.1, 2.2, 2.7, 1373, 2437, 2564, 41, 1300, 1037, 120, 5001
2643, 1177, 1.9, 1.8, 2.4, 739, 1232, 1319, 46, 1290, 880, 220, 2551
2644, 1302, 1.9, 2, 2.4, 704, 1281, 1315, 45, 1083, 905, 140, 2596
2645, 190, 2.1, 1.8, 2, 79, 145, 155, 51, 520, 582, 75, 300
2646, 3311, 2, 1.7, 2.3, 1846, 3458, 3331, 45, 1300, 874, 160, 6789
2647, 1260, 1.9, 1.6, 2.2, 547, 941, 963, 51, 1509, 819, 200, 1904
2648, 1291, 1.9, 1.8, 2.3, 661, 1148, 1355, 47, 1070, 721, 130, 2503
2649, 10, 0, 2.5, 2, 3, 6, 6, 26, 2600, 900, 0, 12
2650, 22890, 2, 1.7, 2.5, 14173, 27890, 26082, 35, 1595, 1145, 225, 53972
2651, 699, 1.9, 1.8, 2.7, 476, 904, 1312, 24, 1300, 1202, 215, 2216
2652, 2222, 2.1, 2.2, 2.6, 1378, 2368, 2483, 42, 1164, 978, 105, 4851
2653, 1080, 2, 1.9, 2.4, 603, 1090, 1246, 42, 1083, 862, 160, 2336
2655, 455, 1.8, 2, 2.5, 289, 538, 516, 43, 1203, 907, 160, 1054
2656, 603, 2.1, 1.9, 2.4, 343, 636, 659, 47, 1000, 802, 70, 1295
2658, 690, 2.1, 2.1, 2.4, 367, 723, 719, 45, 813, 705, 125, 1442
2659, 401, 2.1, 2.1, 2.5, 246, 461, 457, 42, 1300, 1036, 140, 918
2660, 756, 2.1, 1.9, 2.5, 437, 803, 862, 43, 1127, 827, 140, 1665
2661, 89, 2.4, 1.5, 3, 58, 117, 223, 24, 0, 1874, 225, 340
2663, 1673, 2, 1.7, 2.5, 998, 1931, 2647, 38, 1200, 869, 160, 4578
2665, 1152, 2.1, 2, 2.5, 633, 1152, 1185, 44, 650, 709, 85, 2337
2666, 2400, 2, 1.7, 2.4, 1361, 2537, 2522, 45, 1092, 794, 140, 5059
2668, 211, 2.1, 2, 2.4, 104, 201, 205, 43, 867, 652, 80, 406
2669, 957, 2.2, 2.3, 2.6, 544, 960, 1040, 42, 433, 822, 22, 2000
2671, 1892, 2, 1.8, 2.4, 1049, 1987, 1903, 40, 1196, 943, 150, 3890
2672, 732, 2.1, 1.7, 2.5, 402, 735, 742, 36, 791, 848, 103, 1477
2675, 755, 2.1, 2, 2.3, 370, 686, 744, 40, 997, 973, 100, 1430
2680, 9222, 2, 1.8, 2.7, 5869, 11320, 11368, 36, 1517, 1074, 180, 22688
2681, 728, 2, 2, 2.6, 434, 794, 844, 38, 1408, 992, 162, 1638
2700, 2254, 1.9, 1.7, 2.4, 1221, 2497, 2374, 42, 1081, 811, 150, 4871
2701, 990, 2.2, 2, 2.7, 661, 1273, 1161, 42, 1571, 970, 170, 2434
2702, 301, 2.4, 1.6, 2.4, 155, 309, 305, 46, 845, 702, 110, 614
2703, 296, 2.1, 1.8, 2.4, 158, 498, 450, 18, 1300, 804, 40, 948
2705, 4199, 2, 1.8, 2.6, 2558, 5062, 4952, 37, 1300, 977, 165, 10014
2706, 529, 1.9, 1.8, 2.5, 325, 571, 640, 37, 1170, 891, 150, 1211
2707, 699, 2.1, 2.2, 2.6, 357, 614, 697, 40, 1083, 935, 125, 1311
2710, 4998, 1.9, 1.7, 2.3, 2631, 4945, 4889, 44, 1083, 840, 140, 9834
2711, 1728, 2, 1.8, 2.4, 868, 1627, 1668, 43, 1083, 802, 120, 3295
2712, 748, 2, 1.9, 2.2, 384, 694, 714, 47, 900, 766, 108, 1408
2713, 1503, 2.1, 1.8, 2.3, 809, 1555, 1526, 45, 905, 785, 110, 3081
2714, 1239, 1.8, 1.6, 2.1, 653, 1214, 1169, 53, 1101, 709, 175, 2383
2715, 776, 2, 1.9, 2.4, 420, 790, 837, 44, 700, 848, 120, 1627
2716, 562, 2.1, 1.9, 2.3, 270, 508, 562, 47, 910, 807, 100, 1070
2717, 614, 2.1, 1.7, 2.6, 386, 701, 683, 40, 910, 842, 140, 1384
2720, 3831, 1.9, 1.8, 2.4, 2093, 3895, 3928, 40, 1500, 968, 180, 7823
2721, 185, 1.8, 2.5, 2.6, 113, 175, 175, 46, 303, 805, 68, 350
2722, 1359, 2, 1.8, 2.5, 805, 1489, 1487, 42, 1213, 887, 150, 2976
2725, 244, 1.8, 2, 2.5, 129, 226, 222, 46, 777, 775, 95, 448
2726, 182, 2.3, 2.3, 2.5, 89, 149, 155, 44, 1603, 985, 0, 304
2727, 295, 2.4, 2.4, 2.6, 157, 256, 313, 43, 1170, 989, 0, 569
2729, 843, 2, 2.1, 2.5, 492, 834, 894, 43, 1166, 913, 121, 1728
2730, 754, 1.9, 1.8, 2.2, 386, 695, 726, 47, 930, 786, 120, 1421
2731, 2669, 1.9, 1.7, 2.3, 1538, 2801, 2758, 46, 1517, 870, 220, 5559
2732, 1045, 1.8, 1.8, 2.2, 500, 932, 926, 51, 1200, 775, 135, 1858
2733, 330, 2.1, 1.8, 2.4, 165, 293, 300, 46, 770, 782, 94, 593
2735, 292, 2.2, 2.3, 2.8, 182, 307, 344, 43, 960, 942, 125, 651
2736, 240, 1.8, 1.7, 2.2, 115, 184, 219, 48, 1300, 747, 150, 403
2737, 353, 2.1, 2.1, 2.7, 211, 382, 413, 36, 1040, 1043, 135, 795
2738, 495, 2, 2, 2.8, 353, 595, 631, 36, 1603, 1227, 160, 1226
2739, 695, 1.9, 1.9, 2.5, 415, 734, 766, 38, 1300, 1018, 150, 1500
2745, 8560, 2, 2.1, 3.2, 7221, 13335, 12897, 32, 2200, 1856, 350, 26232
2747, 12962, 1.9, 1.7, 2.8, 9301, 17307, 16942, 33, 1820, 1302, 280, 34249
2748, 586, 2.1, 2.7, 3.4, 495, 931, 981, 40, 3250, 1519, 323, 1912
2749, 5319, 2, 2, 3.1, 4350, 7960, 7813, 31, 2000, 1547, 266, 15773
2750, 17406, 1.8, 1.6, 2.5, 11541, 22049, 20538, 36, 1950, 1256, 280, 42587
2752, 1603, 2.1, 2.3, 3.1, 1260, 2300, 2376, 35, 2000, 1542, 300, 4676
2753, 6375, 1.9, 2, 2.7, 4344, 8599, 8484, 37, 2000, 1264, 280, 17083
2754, 2068, 1.9, 2, 2.7, 1483, 2714, 2569, 38, 2000, 1335, 300, 5283
2756, 11856, 1.9, 2.1, 2.9, 8734, 16168, 16128, 34, 2000, 1401, 280, 32296
2757, 322, 2, 2.2, 2.7, 248, 419, 458, 42, 1800, 1585, 170, 877
2758, 3129, 2, 2.4, 3, 2305, 4253, 4275, 40, 2200, 1705, 295, 8528
2759, 8424, 1.9, 2.1, 3.2, 7380, 13278, 13222, 32, 2000, 1716, 340, 26500
2760, 10551, 1.9, 1.5, 2.7, 7195, 13656, 13375, 34, 1874, 1093, 280, 27031
2761, 8139, 2, 1.9, 3.5, 7204, 13959, 13764, 30, 2000, 1562, 350, 27723
2762, 1413, 2, 2, 2.9, 1020, 1874, 1939, 35, 2167, 1451, 328, 3813
2763, 9713, 1.9, 1.9, 3.2, 8252, 14991, 14858, 32, 2167, 1801, 360, 29849
2765, 5169, 2, 2.2, 2.9, 3827, 7125, 7716, 37, 2167, 1310, 300, 14841
2766, 4344, 2, 1.7, 3.2, 3664, 7296, 6884, 34, 2000, 1403, 320, 14180
2767, 6343, 1.9, 1.7, 3.2, 5254, 9928, 9576, 33, 2100, 1372, 240, 19504
2768, 7744, 1.9, 1.9, 3.4, 6922, 12962, 13499, 32, 2600, 2159, 490, 26461
2770, 20068, 2.1, 1.4, 3.1, 15466, 30631, 29712, 30, 1636, 950, 220, 60343
2773, 2171, 2, 1.9, 2.8, 1650, 2970, 2887, 39, 2058, 1884, 330, 5857
2774, 4780, 1.9, 1.8, 2.8, 3640, 6405, 6243, 39, 2000, 1620, 313, 12648
2775, 989, 2, 1.7, 2.2, 346, 745, 798, 45, 1733, 825, 200, 1543
2776, 1538, 1.9, 1.9, 2.8, 1140, 2045, 1945, 39, 1990, 1578, 300, 3990
2777, 6802, 1.9, 1.8, 2.7, 4940, 9264, 8519, 40, 1993, 1518, 310, 17783
2778, 993, 1.9, 1.8, 2.7, 681, 1234, 1198, 41, 1842, 1493, 300, 2432
2779, 1861, 1.8, 1.6, 2.6, 1250, 2389, 2145, 38, 1777, 1244, 277, 4534
2780, 6946, 1.8, 1.3, 2.1, 3010, 6740, 6181, 45, 1610, 877, 250, 12921
2782, 2885, 1.8, 1.5, 2.3, 1581, 3126, 2808, 48, 1880, 1001, 300, 5934
2783, 1232, 1.8, 1.5, 2.5, 762, 1500, 1387, 41, 1733, 1107, 265, 2887
2784, 544, 1.8, 1.6, 2.5, 323, 621, 594, 42, 1500, 1271, 280, 1215
2785, 2753, 1.8, 1.4, 2.2, 1130, 2374, 2195, 47, 1625, 919, 250, 4569
2786, 635, 1.7, 1.6, 2.2, 261, 488, 507, 46, 1300, 865, 250, 995
2787, 2121, 2, 1.9, 2.4, 1121, 2022, 2212, 41, 1517, 969, 170, 4234
2790, 6850, 1.8, 1.6, 2.3, 3859, 7254, 7560, 42, 1430, 874, 175, 14814
2791, 292, 2.2, 2.1, 2.6, 182, 347, 348, 39, 1744, 1233, 110, 695
2792, 247, 2.1, 2, 2.5, 138, 249, 247, 41, 1100, 894, 125, 496
2793, 630, 1.8, 2, 2.2, 327, 541, 593, 51, 975, 702, 150, 1134
2794, 4631, 2, 1.7, 2.4, 2602, 5053, 4950, 44, 1100, 792, 160, 10003
2795, 16526, 1.9, 1.8, 2.5, 10068, 19809, 20069, 36, 1634, 1143, 215, 39878
2797, 124, 1.6, 1.8, 2, 67, 118, 101, 50, 981, 945, 150, 219
2798, 906, 2, 2.2, 2.7, 642, 1163, 1220, 38, 1733, 1485, 200, 2383
2799, 1690, 1.9, 1.9, 2.5, 1011, 1941, 1901, 40, 1430, 1026, 170, 3842
2800, 17284, 1.9, 1.7, 2.5, 10662, 21112, 20250, 36, 1644, 1189, 230, 41362
2803, 174, 1.9, 2.3, 2.2, 90, 145, 158, 51, 800, 726, 0, 303
2804, 1248, 2, 1.9, 2.4, 706, 1325, 1301, 45, 1083, 812, 133, 2626
2805, 152, 1.8, 1.8, 2.3, 84, 148, 147, 47, 1092, 617, 145, 295
2806, 444, 2, 2.2, 2.3, 250, 445, 469, 47, 1000, 774, 92, 914
2807, 156, 1.9, 1.6, 2.1, 63, 128, 130, 46, 507, 574, 150, 258
2808, 225, 2.1, 2, 2.1, 57, 103, 124, 53, 800, 753, 100, 227
2809, 172, 2, 2.3, 2.6, 87, 145, 175, 43, 1387, 717, 50, 320
2810, 1467, 1.9, 1.9, 2.3, 842, 1478, 1498, 48, 867, 720, 119, 2976
2820, 3528, 2, 1.6, 2.4, 1970, 3761, 4116, 41, 1157, 758, 132, 7877
2821, 2123, 2, 1.8, 2.5, 1305, 2508, 2434, 39, 1112, 865, 160, 4942
2823, 668, 2.2, 1.9, 2.4, 371, 674, 733, 40, 652, 807, 110, 1407
2824, 1208, 1.9, 1.8, 2.3, 625, 1173, 1152, 42, 867, 842, 120, 2325
2825, 1245, 2, 1.7, 2.5, 669, 1317, 1373, 39, 1083, 913, 150, 2690
2827, 1608, 1.9, 1.8, 2.4, 958, 1874, 1711, 44, 975, 741, 126, 3585
2828, 326, 2.1, 1.6, 2.4, 166, 291, 291, 44, 1083, 653, 125, 582
2829, 1556, 2.1, 1.7, 2.5, 828, 1597, 1581, 40, 780, 839, 120, 3178
2830, 15522, 2, 1.7, 2.6, 9952, 19572, 18163, 36, 1512, 1099, 200, 37735
2831, 1800, 1.9, 2.1, 2.6, 1052, 1891, 1997, 41, 1300, 928, 55, 3888
2832, 1417, 2, 1.7, 2.6, 654, 1291, 1456, 36, 888, 966, 100, 2747
2833, 396, 2, 1.6, 2.4, 178, 360, 408, 39, 433, 905, 100, 768
2834, 1721, 1.9, 1.4, 2, 555, 1111, 1381, 48, 834, 541, 120, 2492
2835, 2187, 1.9, 1.7, 2.4, 1065, 2047, 2196, 35, 1387, 1385, 150, 4243
2836, 479, 2.2, 1.5, 2.7, 222, 469, 458, 32, 0, 817, 65, 927
2839, 624, 2.1, 1.3, 2.7, 324, 698, 717, 32, 650, 777, 90, 1415
2840, 1435, 2.1, 1.6, 2.6, 641, 1411, 1458, 35, 867, 1085, 80, 2869
2842, 257, 1.8, 1.7, 2.2, 129, 229, 222, 51, 675, 584, 111, 451
2843, 637, 2, 1.8, 2.4, 327, 626, 652, 42, 867, 788, 110, 1278
2844, 715, 2.2, 2, 2.4, 370, 711, 719, 45, 867, 712, 110, 1430
2845, 767, 2, 1.9, 2.6, 518, 913, 989, 39, 1517, 1131, 165, 1902
2846, 270, 1.9, 2.3, 2.1, 95, 171, 201, 48, 1153, 684, 100, 372
2847, 1037, 2, 1.8, 2.4, 638, 1170, 1138, 43, 1430, 902, 170, 2308
2848, 957, 1.9, 1.5, 2.2, 455, 860, 866, 45, 1000, 584, 160, 1726
2849, 1030, 1.8, 2, 2.2, 439, 790, 811, 49, 1517, 740, 160, 1601
2850, 7588, 1.9, 1.8, 2.5, 4245, 7886, 8059, 41, 1654, 985, 230, 15945
2852, 1563, 1.9, 1.9, 2.5, 916, 1647, 1712, 40, 1430, 948, 200, 3359
2864, 479, 2, 2.3, 2.7, 334, 575, 573, 42, 1400, 1241, 155, 1148
2865, 351, 2.2, 2.2, 2.4, 193, 375, 353, 39, 1300, 949, 103, 728
2866, 1188, 2.1, 2, 2.6, 773, 1439, 1358, 40, 1400, 1002, 170, 2797
2867, 290, 2, 2.1, 2.6, 179, 280, 333, 43, 780, 834, 85, 613
2868, 250, 2.1, 1.6, 2.5, 128, 275, 244, 40, 1041, 657, 90, 519
2869, 805, 2, 1.8, 2.3, 398, 727, 749, 47, 900, 673, 100, 1476
2870, 5242, 2, 1.7, 2.5, 3156, 6235, 5984, 38, 1343, 947, 160, 12219
2871, 4060, 2, 1.7, 2.4, 2352, 4494, 4397, 41, 1135, 827, 150, 8891
2873, 380, 1.9, 2.1, 2.2, 185, 314, 321, 50, 693, 648, 50, 635
2874, 213, 1.8, 2, 2.5, 108, 177, 196, 47, 433, 686, 26, 373
2875, 532, 2, 2, 2.5, 293, 514, 525, 44, 1000, 819, 75, 1039
2876, 160, 2.2, 2.1, 2.8, 76, 134, 173, 43, 710, 718, 100, 307
2877, 2034, 2, 1.8, 2.4, 1089, 2043, 2079, 40, 867, 832, 120, 4122
2878, 123, 1.8, 1.3, 2.1, 41, 83, 117, 37, 200, 862, 95, 200
2879, 619, 1.8, 1.7, 2.1, 218, 385, 475, 44, 542, 780, 63, 860
2880, 10002, 1.8, 1.5, 2.2, 5040, 9806, 9404, 43, 953, 791, 150, 19210
3500, 13945, 1.9, 1.6, 2.4, 7967, 16044, 14604, 37, 1300, 854, 180, 30648
3585, 4872, 2, 1.6, 2.4, 2778, 5499, 5246, 38, 1300, 894, 170, 10745
3586, 320, 2.1, 2.5, 2.8, 207, 363, 388, 39, 1452, 951, 150, 751
3644, 3973, 2, 1.7, 2.4, 2347, 4407, 4374, 42, 1300, 835, 173, 8781
3691, 3018, 2, 2.4, 2.8, 2240, 4056, 4340, 37, 1649, 1407, 203, 8396
3707, 880, 1.8, 1.8, 2.2, 454, 858, 840, 48, 867, 708, 130, 1698
4370, 7550, 2, 1.8, 2.5, 4680, 8932, 8306, 40, 1300, 884, 215, 17238
4380, 3764, 1.9, 1.7, 2.3, 2079, 3970, 3733, 46, 1300, 782, 180, 7703
5440, 344, 1.9, 2.6, 2.1, 106, 205, 287, 47, 303, 918, 33, 492
