Financial Year,Offence Month,Inf No,Face Value,Infringement Type,Offence Description,Location Details
2009/10,Mar,5,1690,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,CHALMERS STREET (54) REDFERN (Z) NORTHBOUND
2009/10,Aug,6,2028,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,BOURKE STREET (128) ZETLAND EASTBOUND
2005/06,Jul,4,1200,Red Light Camera,NOT STOP AT RED LIGHT (CAMERA DETECTED),SPRINGHILL ROAD (608) CONISTON SOUTHBOUND
2006/07,Feb,1,308,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,HUME HIGHWAY (151) WARWICK FARM WESTBOUND
2006/07,Sep,1,308,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,KINGSWAY (85) WOOLOOWARE WESTBOUND
2005/06,Feb,1,300,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,DONALD STREET (512) HAMILTON WESTBOUND
2005/06,Dec,1,300,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,CORRIMAL STREET (610) WOLLONGONG SOUTHBOUND
2007/08,Jul,1,318,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,ERNEST STREET(158) CAMMERAY EASTBOUND
2007/08,May,2,636,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,VICTORIA ROAD (114) PARRAMATTA WESTBOUND
2007/08,Apr,3,954,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,WARDELL ROAD (160) DULWICH HILL NORTHBOUND
2009/10,Sep,2,676,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,CUMBERLAND HIGHWAY (96) WEST CABRAMATTA NORTHBOUND
2009/10,Aug,1,338,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,PENNANT HILLS ROAD (47) THORNLEIGH NORTHBOUND
2009/10,Feb,1,338,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,HUME HWY (LIVERPOOL ROAD)(5) BURWOOD (Z) EASTBOUND
2004/05,Dec,2,452,Red Light Camera,NOT STOP AT RED LIGHT (CAMERA DETECTED),SPRINGHILL ROAD (600) CONISTON EASTBOUND
2006/07,Jun,3,924,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,MACQUARIE ROAD (506) CARDIFF NORTHBOUND
2006/07,Jul,1,308,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,HUME HIGHWAY (151) WARWICK FARM WESTBOUND
2007/08,Nov,3,954,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,VICTORIA STREET (62) SMITHFIELD WESTBOUND
2007/08,Jun,1,318,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,HUME HWY (LIVERPOOL ROAD)(5) BURWOOD (Z) EASTBOUND
2007/08,Jun,2,636,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,STONEY CREEK ROAD (140) PEAKHURST WESTBOUND
2007/08,Sep,3,954,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,MILITARY ROAD (126) MOSMAN WESTBOUND
2010/11,Dec,1,344,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,SACKVILLE STREET (63) CANLEY VALE NORTHBOUND
2009/10,Jul,1,338,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,VICTORIA ROAD(13) RYDALMERE EASTBOUND
2006/07,Mar,1,308,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,PRINCES HIGHWAY (84) SYLVANIA HEIGHTS NORTHBOUND
2006/07,Sep,1,308,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,KING STREET (605) WARRAWONG SOUTHBOUND
2007/08,Dec,1,397,Red Light Camera,Not Stop at Red Light - Camera Detected - School Zone - Corporation,MILITARY ROAD (111) CREMORNE (Z) SOUTHBOUND
2008/09,Jan,3,972,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,CUMBERLAND HIGHWAY (96) WEST CABRAMATTA NORTHBOUND
2008/09,Feb,1,324,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,BROADWAY(35) ULTIMO NORTHBOUND
2009/10,Jun,1,338,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,DAVIES ROAD(25) PADSTOW SOUTHBOUND
2009/10,Jan,2,676,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,ANZAC PARADE (92) KENSINGTON NORTHBOUND
2006/07,Sep,1,308,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,DONALD STREET (512) HAMILTON WESTBOUND
2006/07,Aug,1,308,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,CORRIMAL STREET (610) WOLLONGONG SOUTHBOUND
2006/07,Aug,1,308,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,SPRINGHILL ROAD (600) CONISTON EASTBOUND
2006/07,Sep,1,308,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,PARRAMATTA ROAD (14) GRANVILLE WESTBOUND
2008/09,May,2,648,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,FAIRLIGHT STREET (137) FIVE DOCK NORTHBOUND
2009/10,May,1,338,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,CHURCH STREET (74) RYDE EASTBOUND
2004/05,Aug,263,59438,Red Light Camera,NOT STOP AT RED LIGHT (CAMERA DETECTED),CHURCH STREET (74) RYDE SOUTHBOUND
2004/05,Aug,298,67348,Red Light Camera,NOT STOP AT RED LIGHT (CAMERA DETECTED),PACIFIC HIGHWAY (157) TURRAMURRA WESTBOUND
2004/05,Sep,290,65540,Red Light Camera,NOT STOP AT RED LIGHT (CAMERA DETECTED),PACIFIC HIGHWAY (157) TURRAMURRA WESTBOUND
2004/05,Oct,336,75936,Red Light Camera,NOT STOP AT RED LIGHT (CAMERA DETECTED),SILVERWATER ROAD (115) SILVERWATER SOUTHBOUND
2004/05,Oct,70,15820,Red Light Camera,NOT STOP AT RED LIGHT (CAMERA DETECTED),KING STREET (605) WARRAWONG SOUTHBOUND
2004/05,Jun,118,26668,Red Light Camera,NOT STOP AT RED LIGHT (CAMERA DETECTED),VICTORIA STREET (62) SMITHFIELD WESTBOUND
2004/05,Jun,36,8136,Red Light Camera,NOT STOP AT RED LIGHT (CAMERA DETECTED),FIVE ISLANDS ROAD (607) PORT KEMBLA NORTHBOUND
2004/05,May,143,32318,Red Light Camera,NOT STOP AT RED LIGHT (CAMERA DETECTED),HAMILTON ROAD (152) FAIRFIELD WESTBOUND
2004/05,Nov,386,87236,Red Light Camera,NOT STOP AT RED LIGHT (CAMERA DETECTED),PARRAMATTA ROAD (116) SUMMER HILL EASTBOUND
2004/05,Sep,7,1582,Red Light Camera,NOT STOP AT RED LIGHT (CAMERA DETECTED),OLYMPIC DRIVE(24) LIDCOMBE NORTHBOUND
2004/05,Nov,108,24408,Red Light Camera,NOT STOP AT RED LIGHT (CAMERA DETECTED),WICKS ROAD (75) NORTH RYDE NORTHBOUND
2004/05,Sep,232,52432,Red Light Camera,NOT STOP AT RED LIGHT (CAMERA DETECTED),PARRAMATTA ROAD(3) ANNANDALE EASTBOUND
2004/05,Jan,168,37968,Red Light Camera,NOT STOP AT RED LIGHT (CAMERA DETECTED),ANZAC PARADE (92) KENSINGTON NORTHBOUND
2004/05,Jan,315,71190,Red Light Camera,NOT STOP AT RED LIGHT (CAMERA DETECTED),O'CONNELL STREET(22) PARRAMATTA SOUTHBOUND
2004/05,Jan,232,52432,Red Light Camera,NOT STOP AT RED LIGHT (CAMERA DETECTED),CROUDACE ROAD (507) LAMBTON NORTHBOUND
2004/05,Dec,51,11526,Red Light Camera,NOT STOP AT RED LIGHT (CAMERA DETECTED),HARRIS STREET (55) ULTIMO SOUTHBOUND
2004/05,Dec,50,11300,Red Light Camera,NOT STOP AT RED LIGHT (CAMERA DETECTED),CITY ROAD (514) MEREWETHER NORTHBOUND
2004/05,Nov,107,24182,Red Light Camera,NOT STOP AT RED LIGHT (CAMERA DETECTED),KING STREET (605) WARRAWONG SOUTHBOUND
2004/05,Jul,178,40228,Red Light Camera,NOT STOP AT RED LIGHT (CAMERA DETECTED),CHURCH STREET (74) RYDE SOUTHBOUND
2004/05,Jan,54,12204,Red Light Camera,NOT STOP AT RED LIGHT (CAMERA DETECTED),DAVIES ROAD(25) PADSTOW SOUTHBOUND
2004/05,Aug,197,44522,Red Light Camera,NOT STOP AT RED LIGHT (CAMERA DETECTED),PENNANT HILLS ROAD (47) THORNLEIGH NORTHBOUND
2004/05,Jul,227,51302,Red Light Camera,NOT STOP AT RED LIGHT (CAMERA DETECTED),OLD SOUTH HEAD ROAD (108) BONDI JUNCTION WESTBOUND
2004/05,Apr,101,22826,Red Light Camera,NOT STOP AT RED LIGHT (CAMERA DETECTED),DAVIES ROAD(25) PADSTOW SOUTHBOUND
2004/05,Mar,61,13786,Red Light Camera,NOT STOP AT RED LIGHT (CAMERA DETECTED),WELLINGTON STREET (87) ROZELLE SOUTHBOUND
2004/05,Feb,149,33674,Red Light Camera,NOT STOP AT RED LIGHT (CAMERA DETECTED),WICKS ROAD (75) NORTH RYDE NORTHBOUND
2004/05,Feb,99,22374,Red Light Camera,NOT STOP AT RED LIGHT (CAMERA DETECTED),HUME HIGHWAY (151) WARWICK FARM WESTBOUND
2004/05,Sep,96,21696,Red Light Camera,NOT STOP AT RED LIGHT (CAMERA DETECTED),KING STREET (605) WARRAWONG SOUTHBOUND
2004/05,Sep,90,20340,Red Light Camera,NOT STOP AT RED LIGHT (CAMERA DETECTED),VICTORIA ROAD (86) ERMINGTON WESTBOUND
2004/05,Dec,103,23278,Red Light Camera,NOT STOP AT RED LIGHT (CAMERA DETECTED),DONALD STREET (512) HAMILTON WESTBOUND
2004/05,Sep,96,21696,Red Light Camera,NOT STOP AT RED LIGHT (CAMERA DETECTED),FIVE ISLANDS RD (BRAMBLES CNR) WARRAWONG SOUTHBOUND
2004/05,Oct,83,18758,Red Light Camera,NOT STOP AT RED LIGHT (CAMERA DETECTED),RYDE ROAD (73) WEST PYMBLE SOUTHBOUND
2004/05,Jun,47,10622,Red Light Camera,NOT STOP AT RED LIGHT (CAMERA DETECTED),O'RIORDAN STREET (162) MASCOT SOUTHBOUND
2004/05,Apr,202,45652,Red Light Camera,NOT STOP AT RED LIGHT (CAMERA DETECTED),PARKER STREET (93) PENRITH NORTHBOUND
2004/05,Apr,80,18080,Red Light Camera,NOT STOP AT RED LIGHT (CAMERA DETECTED),PARRAMATTA ROAD (79) FIVE DOCK EASTBOUND
2004/05,Dec,140,31640,Red Light Camera,NOT STOP AT RED LIGHT (CAMERA DETECTED),SYDNEY ROAD (121) BALGOWLAH EASTBOUND
2004/05,Jun,13,2938,Red Light Camera,NOT STOP AT RED LIGHT (CAMERA DETECTED),MACQUARIE ROAD (506) CARDIFF WESTBOUND
2004/05,Oct,42,9492,Red Light Camera,NOT STOP AT RED LIGHT (CAMERA DETECTED),VICTORIA ROAD (86) ERMINGTON WESTBOUND
2004/05,Oct,60,13560,Red Light Camera,NOT STOP AT RED LIGHT (CAMERA DETECTED),CLIVE STREET (80) EAST ROSEVILLE NORTHBOUND
2004/05,Apr,48,10848,Red Light Camera,NOT STOP AT RED LIGHT (CAMERA DETECTED),CAREY STREET (504) TORONTO NORTHBOUND
2004/05,Jul,41,9266,Red Light Camera,NOT STOP AT RED LIGHT (CAMERA DETECTED),PACIFIC HIGHWAY (500) BELMONT SOUTHBOUND
2005/06,Sep,58,17400,Red Light Camera,NOT STOP AT RED LIGHT (CAMERA DETECTED),ERNEST STREET(158) CAMMERAY EASTBOUND
2005/06,Sep,189,56700,Red Light Camera,NOT STOP AT RED LIGHT (CAMERA DETECTED),WARRINGAH FWY/FALCON ST (70) NORTH SYDNEY NORTHBOUND
2005/06,Aug,89,26700,Red Light Camera,NOT STOP AT RED LIGHT (CAMERA DETECTED),MAITLAND ROAD (511) MAYFIELD WEST WESTBOUND
2005/06,Aug,124,37200,Red Light Camera,NOT STOP AT RED LIGHT (CAMERA DETECTED),CUMBERLAND HIGHWAY (96) WEST CABRAMATTA NORTHBOUND
2005/06,Aug,252,75600,Red Light Camera,NOT STOP AT RED LIGHT (CAMERA DETECTED),GREAT WESTERN HIGHWAY(16) PARRAMATTA WESTBOUND
2005/06,Aug,155,46500,Red Light Camera,NOT STOP AT RED LIGHT (CAMERA DETECTED),PACIFIC HIGHWAY (154) CROWS NEST WESTBOUND
2005/06,Aug,128,38400,Red Light Camera,NOT STOP AT RED LIGHT (CAMERA DETECTED),HUME HWY (LIVERPOOL ROAD)(5) BURWOOD (Z) EASTBOUND
2005/06,Jul,177,53100,Red Light Camera,NOT STOP AT RED LIGHT (CAMERA DETECTED),PACIFIC HIGHWAY (154) CROWS NEST WESTBOUND
2005/06,Jul,161,48300,Red Light Camera,NOT STOP AT RED LIGHT (CAMERA DETECTED),VICTORIA STREET (62) SMITHFIELD WESTBOUND
2005/06,Jul,66,19800,Red Light Camera,NOT STOP AT RED LIGHT (CAMERA DETECTED),THE RIVER ROAD (107) REVESBY SOUTHBOUND
2005/06,Jul,59,17700,Red Light Camera,NOT STOP AT RED LIGHT (CAMERA DETECTED),BEXLEY ROAD (49) CLEMTON PARK NORTHBOUND
2005/06,Jul,149,44700,Red Light Camera,NOT STOP AT RED LIGHT (CAMERA DETECTED),SUNNYHOLT ROAD (109) BLACKTOWN SOUTHBOUND
2005/06,Jul,156,46800,Red Light Camera,NOT STOP AT RED LIGHT (CAMERA DETECTED),GOULBURN STREET (119) SYDNEY EASTBOUND
2005/06,Aug,119,35700,Red Light Camera,NOT STOP AT RED LIGHT (CAMERA DETECTED),FIVE ISLANDS RD (BRAMBLES CNR) WARRAWONG SOUTHBOUND
2005/06,Aug,100,30000,Red Light Camera,NOT STOP AT RED LIGHT (CAMERA DETECTED),HUME HIGHWAY (134) LANSDOWNE EASTBOUND
2005/06,Aug,115,34500,Red Light Camera,NOT STOP AT RED LIGHT (CAMERA DETECTED),HAMILTON ROAD (152) FAIRFIELD WESTBOUND
2005/06,Jul,54,16200,Red Light Camera,NOT STOP AT RED LIGHT (CAMERA DETECTED),HUME HIGHWAY (133) GREENACRE SOUTHBOUND
2005/06,Sep,37,11100,Red Light Camera,NOT STOP AT RED LIGHT (CAMERA DETECTED),PACIFIC HIGHWAY(32) CHATSWOOD NORTHBOUND
2006/07,May,6,1848,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,NEWTON ROAD (156) BLACKTOWN WESTBOUND
2006/07,Jun,5,1540,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,VICTORIA STREET (62) SMITHFIELD WESTBOUND
2006/07,Mar,7,2156,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,O'CONNELL STREET(22) PARRAMATTA SOUTHBOUND
2006/07,Jan,8,2464,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,KING GEORGES ROAD (42) BEVERLY HILLS NORTHBOUND
2006/07,Mar,3,924,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,MOWBRAY ROAD (110) WILLOUGHBY EASTBOUND
2006/07,Dec,4,1232,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,O'RIORDAN STREET (162) MASCOT SOUTHBOUND
2006/07,Jul,20,6160,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,PENNANT HILLS ROAD(11) CARLINGFORD SOUTHBOUND
2006/07,Jan,2,616,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,HUME HIGHWAY(8) YAGOONA (Z) EASTBOUND
2006/07,Apr,2,616,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,WINDSOR ROAD (99) BAULKHAM HILLS SOUTHBOUND
2006/07,Jun,267,82236,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,PARRAMATTA ROAD (2) FOREST LODGE EASTBOUND
2006/07,Jun,99,30492,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,HAMILTON ROAD (152) FAIRFIELD WESTBOUND
2006/07,Jun,252,77616,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,WINDSOR ROAD (99) BAULKHAM HILLS SOUTHBOUND
2006/07,Jun,195,60060,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,PARRAMATTA ROAD (116) SUMMER HILL EASTBOUND
2006/07,May,118,36344,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,VICTORIA STREET (62) SMITHFIELD WESTBOUND
2006/07,Jun,134,41272,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,CLIVE STREET (80) EAST ROSEVILLE NORTHBOUND
2006/07,May,108,33264,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,FIVE ISLANDS RD (BRAMBLES CNR) WARRAWONG SOUTHBOUND
2006/07,Apr,82,25256,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,KING STREET (605) WARRAWONG SOUTHBOUND
2006/07,Apr,127,39116,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,VICTORIA STREET (62) SMITHFIELD WESTBOUND
2006/07,Apr,107,32956,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,MONA VALE ROAD(38) ST IVES SOUTHBOUND
2006/07,Apr,59,18172,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,CUMBERLAND HIGHWAY (96) WEST CABRAMATTA NORTHBOUND
2006/07,Apr,49,15092,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,PRINCES HIGHWAY(6) KOGARAH SOUTHBOUND
2006/07,Mar,95,29260,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,ROCKY POINT ROAD (142) RAMSGATE SOUTHBOUND
2006/07,Mar,49,15092,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,CROUDACE ROAD (507) LAMBTON NORTHBOUND
2006/07,Mar,108,33264,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,KING GEORGES ROAD (42) BEVERLY HILLS NORTHBOUND
2006/07,Mar,45,13860,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,HUME HIGHWAY (151) WARWICK FARM WESTBOUND
2006/07,Feb,497,153076,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,O'CONNELL STREET(22) PARRAMATTA SOUTHBOUND
2006/07,Feb,65,20020,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,PRINCES HIGHWAY (604) FIGTREE SOUTHBOUND
2006/07,Jan,67,20636,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,MACQUARIE ROAD (506) CARDIFF NORTHBOUND
2006/07,Jan,107,32956,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,MONA VALE ROAD(38) ST IVES SOUTHBOUND
2006/07,Jan,41,12628,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,O'RIORDAN STREET (162) MASCOT SOUTHBOUND
2006/07,Dec,41,12628,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,HUME HIGHWAY (151) WARWICK FARM WESTBOUND
2006/07,Nov,158,48664,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,HUME HWY (LIVERPOOL ROAD)(5) BURWOOD (Z) EASTBOUND
2006/07,Nov,277,85316,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,NEW SOUTH HEAD ROAD (144) DOUBLE BAY WESTBOUND
2006/07,Nov,111,34188,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,PARRAMATTA ROAD (14) GRANVILLE WESTBOUND
2006/07,Nov,41,12628,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,BLAXLAND ROAD (149) EASTWOOD NORTHBOUND
2006/07,Nov,129,39732,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,KING STREET (605) WARRAWONG SOUTHBOUND
2006/07,Oct,61,18788,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,PARRAMATTA ROAD (14) GRANVILLE WESTBOUND
2006/07,Oct,113,34804,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,HUME HIGHWAY (133) GREENACRE SOUTHBOUND
2006/07,Feb,73,22484,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,MACQUARIE ROAD (506) CARDIFF NORTHBOUND
2006/07,Feb,100,30800,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,PRINCES HIGHWAY(6) KOGARAH SOUTHBOUND
2006/07,Dec,125,38500,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,KING STREET (605) WARRAWONG SOUTHBOUND
2006/07,Jan,38,11704,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,OLD SOUTH HEAD ROAD (108) BONDI JUNCTION WESTBOUND
2006/07,Dec,73,22484,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,DONALD STREET (512) HAMILTON WESTBOUND
2006/07,Dec,75,23100,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,KINGSWAY (85) WOOLOOWARE WESTBOUND
2006/07,Dec,29,8932,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,PRINCES HIGHWAY BULLI (Z) SOUTHBOUND
2006/07,Oct,36,11088,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,DONALD STREET (512) HAMILTON WESTBOUND
2006/07,Oct,67,20636,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,KINGSWAY (85) WOOLOOWARE WESTBOUND
2006/07,Aug,412,126896,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,PENNANT HILLS ROAD(11) CARLINGFORD SOUTHBOUND
2006/07,Aug,229,70532,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,OLD SOUTH HEAD ROAD (108) BONDI JUNCTION WESTBOUND
2006/07,Sep,417,128436,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,O'CONNELL STREET(22) PARRAMATTA SOUTHBOUND
2006/07,Sep,97,29876,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,ROCKY POINT ROAD (142) RAMSGATE SOUTHBOUND
2006/07,Aug,186,57288,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,HUME HWY (LIVERPOOL ROAD)(5) BURWOOD (Z) EASTBOUND
2006/07,Aug,130,40040,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,SACKVILLE STREET (63) CANLEY VALE NORTHBOUND
2006/07,Jul,589,181412,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,PENNANT HILLS ROAD(11) CARLINGFORD SOUTHBOUND
2006/07,Jul,159,48972,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,CASTLE HILL ROAD (72) WEST PENNANT HILLS SOUTHBOUND
2006/07,May,74,22792,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,SYDNEY ROAD (121) BALGOWLAH EASTBOUND
2006/07,May,139,42812,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,MULGOA ROAD (94) PENRITH NORTHBOUND
2006/07,May,122,37576,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,PACIFIC HIGHWAY (157) TURRAMURRA WESTBOUND
2006/07,May,118,36344,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,PARRAMATTA ROAD (116) SUMMER HILL EASTBOUND
2006/07,Apr,36,11088,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,PARRAMATTA ROAD (116) SUMMER HILL EASTBOUND
2006/07,Nov,5,1540,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,MOWBRAY ROAD (110) WILLOUGHBY EASTBOUND
2006/07,Sep,49,15092,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,O'RIORDAN STREET (162) MASCOT SOUTHBOUND
2006/07,Sep,42,12936,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,PRINCES HIGHWAY (604) FIGTREE SOUTHBOUND
2006/07,Sep,31,9548,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,HUME HIGHWAY (151) WARWICK FARM WESTBOUND
2006/07,Jul,17,5236,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,SPRINGHILL ROAD (600) CONISTON EASTBOUND
2006/07,Jul,70,21560,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,TUDOR STREET (513) HAMILTON WESTBOUND
2006/07,Jul,136,41888,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,MONA VALE ROAD(38) ST IVES SOUTHBOUND
2006/07,Jun,8,2464,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,BUNGARRIBEE ROAD (153) BLACKTOWN EASTBOUND
2005/06,Jun,5,1500,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,HUME HWY (LIVERPOOL ROAD)(5) BURWOOD (Z) EASTBOUND
2005/06,Jun,38,11400,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,HUME HIGHWAY(8) YAGOONA (Z) EASTBOUND
2005/06,Jun,3,900,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,DONALD STREET (512) HAMILTON WESTBOUND
2005/06,Jun,19,5700,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,PENNANT HILLS ROAD(11) CARLINGFORD SOUTHBOUND
2005/06,May,15,4500,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,PENNANT HILLS ROAD(11) CARLINGFORD SOUTHBOUND
2005/06,May,5,1500,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,MONA VALE ROAD(38) ST IVES SOUTHBOUND
2005/06,Apr,11,3300,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,PENNANT HILLS ROAD (47) THORNLEIGH NORTHBOUND
2005/06,Apr,8,2400,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,HUME HIGHWAY(8) YAGOONA (Z) EASTBOUND
2005/06,Feb,7,2100,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,OLD SOUTH HEAD ROAD (108) BONDI JUNCTION WESTBOUND
2005/06,Dec,6,1800,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,PACIFIC HIGHWAY (154) CROWS NEST WESTBOUND
2005/06,Oct,2,600,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,DONALD STREET (512) HAMILTON WESTBOUND
2005/06,Oct,3,900,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,GEORGES RIVER ROAD (136) CROYDON PARK WESTBOUND
2005/06,Oct,2,600,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,WINDSOR ROAD (99) BAULKHAM HILLS SOUTHBOUND
2005/06,Nov,5,1500,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,WOODVILLE ROAD(15) GUILDFORD NORTHBOUND
2005/06,Jun,88,26400,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,PRINCES HIGHWAY(6) KOGARAH SOUTHBOUND
2005/06,Jun,48,14400,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,VICTORIA ROAD (114) PARRAMATTA WESTBOUND
2005/06,May,263,78900,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,O'CONNELL STREET(22) PARRAMATTA SOUTHBOUND
2005/06,May,75,22500,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,PRINCES HIGHWAY(6) KOGARAH SOUTHBOUND
2005/06,May,87,26100,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,HUME HIGHWAY (151) WARWICK FARM WESTBOUND
2005/06,May,51,15300,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,TUDOR STREET (513) HAMILTON WESTBOUND
2005/06,May,17,5100,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,VICTORIA ROAD(13) RYDALMERE EASTBOUND
2005/06,Apr,118,35400,Red Light Camera,Not Stop At Red Light - Camera Detected - Individual,OLD SOUTH HEAD ROAD (108) BONDI JUNCTION WESTBOUND
