2013,Stealing from person,,,Steal from motor vehicle,,,Robbery,,,Assault -non-domestic violence,,,Assault - domestic violence,,,Sexual offences,,
,Total,"Rate per 100,000 population",Rank,Total,"Rate per 100,000 population",Rank,Total,"Rate per 100,000 population",Rank,Total,"Rate per 100,000 population",Rank,Total,"Rate per 100,000 population",Rank,Total,"Rate per 100,000 population",Rank
Conargo, - , nc , nc , 7 , nc , nc , - , nc , nc , 9 ,  nc  ,  nc  , 9 , nc , nc , 5 , nc , nc 
Coolamon, - , - , nc , 17 , 398.7 , 96 , - , - , nc , 9 , 211.1 , 124 , 8 , 187.6 , 121 , 8 , 187.6 , 56 
Cooma-Monaro, - , - , nc , 55 , 543.8 , 70 , 2 , 19.8 , 82 , 60 , 593.2 , 41 , 39 , 385.6 , 70 , 15 , 148.3 , 82 
Coonamble, 3 , 70.1 , 35 , 64 ," 1,495.0 ", 4 , 1 , 23.4 , 76 , 68 ," 1,588.4 ", 4 , 56 ," 1,308.1 ", 4 , 19 , 443.8 , 4 
Cootamundra, - , - , nc , 17 , 224.5 , 126 , 1 , 13.2 , 99 , 28 , 369.8 , 84 , 42 , 554.7 , 37 , 17 , 224.5 , 38 
Corowa Shire, 1 , 8.8 , 112 , 41 , 361.1 , 106 , 2 , 17.6 , 88 , 50 , 440.3 , 74 , 46 , 405.1 , 66 , 20 , 176.1 , 65 
Cowra, 7 , 55.5 , 50 , 107 , 847.9 , 23 , 4 , 31.7 , 55 , 102 , 808.3 , 14 , 74 , 586.4 , 31 , 51 , 404.2 , 8 
Deniliquin, 2 , 27.3 , 86 , 48 , 654.1 , 45 , - , - , nc , 36 , 490.6 , 62 , 57 , 776.8 , 10 , 9 , 122.6 , 101 
Dubbo, 57 , 139.6 , 9 , 632 ," 1,548.2 ", 3 , 20 , 49.0 , 27 , 362 , 886.8 , 9 , 338 , 828.0 , 8 , 95 , 232.7 , 33 
Dungog, 2 , 23.0 , 92 , 16 , 184.3 , 131 , - , - , nc , 16 , 184.3 , 131 , 32 , 368.5 , 78 , 14 , 161.2 , 73 
Eurobodalla, 6 , 16.2 , 102 , 273 , 739.0 , 34 , 6 , 16.2 , 93 , 219 , 592.9 , 42 , 171 , 462.9 , 50 , 59 , 159.7 , 75 
Fairfield, 134 , 67.5 , 36 ," 1,075 ", 541.9 , 71 , 151 , 76.1 , 16 , 629 , 317.1 , 97 , 809 , 407.8 , 65 , 205 , 103.3 , 111 
Forbes, 2 , 21.0 , 95 , 85 , 892.6 , 17 , 1 , 10.5 , 103 , 71 , 745.6 , 21 , 63 , 661.6 , 22 , 27 , 283.5 , 20 
Gilgandra, 1 , 22.3 , 94 , 42 , 934.6 , 13 , 1 , 22.3 , 78 , 23 , 511.8 , 56 , 28 , 623.1 , 27 , 11 , 244.8 , 28 
Glen Innes Severn, 2 , 22.4 , 93 , 52 , 582.2 , 62 , 1 , 11.2 , 102 , 57 , 638.2 , 36 , 23 , 257.5 , 105 , 15 , 168.0 , 70 
Gloucester, - , - , nc , 10 , 200.2 , 128 , - , - , nc , 17 , 340.3 , 90 , 18 , 360.3 , 80 , 9 , 180.1 , 63 
Gosford, 104 , 61.6 , 43 , 873 , 517.2 , 74 , 49 , 29.0 , 65 , 661 , 391.6 , 82 , 448 , 265.4 , 102 , 205 , 121.4 , 103 
Goulburn Mulwaree, 3 , 10.5 , 110 , 106 , 370.3 , 103 , - , - , nc , 126 , 440.1 , 75 , 101 , 352.8 , 83 , 47 , 164.2 , 71 
Great Lakes, 13 , 36.3 , 74 , 156 , 436.0 , 89 , 11 , 30.7 , 59 , 180 , 503.1 , 58 , 173 , 483.6 , 44 , 91 , 254.4 , 23 
Greater Hume Shire, 1 , 9.9 , 111 , 33 , 326.8 , 113 , 1 , 9.9 , 106 , 19 , 188.1 , 130 , 18 , 178.2 , 124 , 17 , 168.3 , 69 
Greater Taree, 17 , 35.3 , 77 , 272 , 564.5 , 67 , 9 , 18.7 , 85 , 217 , 450.3 , 69 , 219 , 454.5 , 53 , 149 , 309.2 , 16 
Griffith, 9 , 35.5 , 76 , 237 , 934.1 , 14 , 4 , 15.8 , 95 , 153 , 603.0 , 40 , 196 , 772.5 , 11 , 36 , 141.9 , 87 
